Date,High,Low,Open,Close,Volume,Adj Close
2014-01-02,242.0,235.0,242.0,240.0,5000.0,180.72508239746094
2014-01-03,237.0,230.0,237.0,232.0,6700.0,174.700927734375
2014-01-06,233.0,231.0,232.0,232.0,2400.0,174.700927734375
2014-01-07,237.0,231.0,235.0,237.0,18600.0,178.4660186767578
2014-01-08,240.0,235.0,240.0,237.0,2500.0,178.4660186767578
2014-01-09,237.0,236.0,237.0,236.0,6000.0,177.7130126953125
2014-01-10,236.0,235.0,235.0,235.0,3300.0,176.95997619628906
2014-01-13,239.0,238.0,238.0,239.0,1100.0,179.97206115722656
2014-01-14,242.0,240.0,241.0,242.0,4700.0,182.2311248779297
2014-01-15,242.0,240.0,242.0,241.0,1200.0,181.4781036376953
2014-01-16,253.0,242.0,242.0,246.0,4700.0,185.2432098388672
2014-01-17,246.0,244.0,246.0,245.0,1500.0,184.49017333984375
2014-01-20,246.0,243.0,246.0,243.0,2500.0,182.98414611816406
2014-01-21,246.0,244.0,245.0,245.0,2400.0,184.49017333984375
2014-01-22,245.0,243.0,245.0,243.0,1700.0,182.98414611816406
2014-01-23,245.0,243.0,243.0,244.0,3800.0,183.7371826171875
2014-01-24,246.0,245.0,245.0,246.0,5300.0,185.2432098388672
2014-01-27,248.0,245.0,246.0,247.0,3400.0,185.99623107910156
2014-01-28,247.0,243.0,247.0,243.0,14100.0,182.98414611816406
2014-01-29,246.0,244.0,244.0,245.0,3800.0,184.49017333984375
2014-01-30,245.0,244.0,245.0,244.0,7200.0,183.7371826171875
2014-01-31,246.0,246.0,246.0,246.0,3800.0,185.2432098388672
2014-02-03,248.0,245.0,246.0,246.0,6900.0,185.2432098388672
2014-02-04,246.0,245.0,246.0,245.0,6400.0,184.49017333984375
2014-02-05,248.0,245.0,245.0,245.0,2600.0,184.49017333984375
2014-02-06,249.0,247.0,248.0,248.0,2500.0,186.74925231933594
2014-02-07,250.0,249.0,249.0,250.0,1800.0,188.25527954101562
2014-02-10,252.0,250.0,250.0,250.0,1800.0,188.25527954101562
2014-02-11,254.0,250.0,251.0,252.0,3900.0,189.76132202148438
2014-02-12,254.0,252.0,252.0,253.0,2000.0,190.51434326171875
2014-02-13,253.0,248.0,253.0,250.0,12200.0,188.25527954101562
2014-02-17,252.0,248.0,248.0,251.0,2500.0,189.00831604003906
2014-02-18,250.0,249.0,249.0,250.0,1700.0,188.25527954101562
2014-02-19,253.0,250.0,250.0,250.0,4300.0,188.25527954101562
2014-02-20,251.0,250.0,251.0,250.0,2900.0,188.25527954101562
2014-02-21,255.0,252.0,253.0,255.0,6700.0,192.0203857421875
2014-02-24,257.0,253.0,255.0,253.0,6100.0,190.51434326171875
2014-02-25,255.0,253.0,255.0,253.0,26800.0,190.51434326171875
2014-02-26,260.0,253.0,254.0,258.0,22600.0,194.2794647216797
2014-02-27,263.0,260.0,260.0,261.0,16900.0,196.5385284423828
2014-02-28,263.0,260.0,260.0,263.0,9400.0,198.04454040527344
2014-03-03,264.0,263.0,264.0,263.0,18100.0,198.04454040527344
2014-03-04,264.0,262.0,263.0,264.0,5600.0,198.79757690429688
2014-03-05,265.0,264.0,264.0,265.0,18300.0,199.5506134033203
2014-03-06,268.0,265.0,265.0,267.0,4100.0,201.056640625
2014-03-07,270.0,268.0,269.0,269.0,6300.0,202.5626983642578
2014-03-10,272.0,269.0,272.0,269.0,4600.0,202.5626983642578
2014-03-11,269.0,268.0,269.0,269.0,5100.0,202.5626983642578
2014-03-12,269.0,267.0,268.0,267.0,9300.0,201.056640625
2014-03-13,271.0,268.0,269.0,269.0,8200.0,202.5626983642578
2014-03-14,270.0,268.0,268.0,268.0,3500.0,201.80966186523438
2014-03-17,270.0,269.0,270.0,269.0,1000.0,202.5626983642578
2014-03-18,270.0,266.0,269.0,266.0,15100.0,200.3036346435547
2014-03-19,270.0,266.0,268.0,267.0,7400.0,201.056640625
2014-03-20,269.0,268.0,268.0,268.0,1600.0,201.80966186523438
2014-03-21,269.0,268.0,268.0,268.0,3400.0,201.80966186523438
2014-03-24,270.0,265.0,270.0,265.0,6700.0,199.5506134033203
2014-03-25,269.0,265.0,269.0,265.0,3100.0,199.5506134033203
2014-03-26,266.0,265.0,266.0,266.0,3700.0,200.3036346435547
2014-03-27,266.0,264.0,266.0,264.0,2600.0,198.79757690429688
2014-03-28,266.0,265.0,266.0,266.0,2300.0,200.3036346435547
2014-03-31,267.0,264.0,265.0,265.0,4000.0,199.5506134033203
2014-04-01,266.0,264.0,264.0,266.0,3800.0,200.3036346435547
2014-04-02,266.0,264.0,265.0,266.0,4000.0,200.3036346435547
2014-04-03,268.0,266.0,267.0,266.0,3600.0,200.3036346435547
2014-04-04,268.0,267.0,268.0,268.0,6400.0,201.80966186523438
2014-04-08,267.0,267.0,267.0,267.0,1900.0,201.056640625
2014-04-09,267.0,266.0,266.0,266.0,6200.0,200.3036346435547
2014-04-10,267.0,266.0,267.0,266.0,4300.0,200.3036346435547
2014-04-11,266.0,265.0,266.0,265.0,5800.0,199.5506134033203
2014-04-16,269.0,266.0,266.0,269.0,4200.0,202.5626983642578
2014-04-17,269.0,266.0,267.0,269.0,5800.0,202.5626983642578
2014-04-18,269.0,267.0,269.0,268.0,7700.0,201.80966186523438
2014-04-21,270.0,269.0,269.0,269.0,8700.0,202.5626983642578
2014-04-22,270.0,269.0,269.0,269.0,14000.0,202.5626983642578
2014-04-23,271.0,269.0,269.0,270.0,13000.0,203.3157196044922
2014-04-24,277.0,270.0,270.0,276.0,26500.0,207.83384704589844
2014-04-25,277.0,275.0,277.0,275.0,12200.0,207.08082580566406
2014-04-28,282.0,277.0,277.0,280.0,1900.0,210.84593200683594
2014-04-29,282.0,277.0,282.0,277.0,21200.0,208.5868682861328
2014-04-30,281.0,276.0,276.0,281.0,32000.0,211.59896850585938
2014-05-02,284.0,282.0,282.0,282.0,9500.0,212.3519744873047
2014-05-06,284.0,281.0,282.0,282.0,25000.0,212.3519744873047
2014-05-07,282.0,278.0,281.0,278.0,18900.0,209.3398895263672
2014-05-08,280.0,277.0,280.0,277.0,11600.0,208.5868682861328
2014-05-09,281.0,280.0,280.0,280.0,14500.0,210.84593200683594
2014-05-12,281.0,279.0,280.0,279.0,3500.0,210.0928955078125
2014-05-14,281.0,278.0,280.0,279.0,9600.0,210.0928955078125
2014-05-15,281.0,279.0,279.0,281.0,7900.0,211.59896850585938
2014-05-16,290.0,281.0,281.0,286.0,24400.0,215.3640594482422
2014-05-19,290.0,286.0,290.0,287.0,13500.0,216.1170654296875
2014-05-20,286.0,282.0,285.0,283.0,11600.0,213.10501098632812
2014-05-21,287.0,284.0,284.0,287.0,8700.0,216.1170654296875
2014-05-22,289.0,285.0,289.0,285.0,13400.0,214.6110382080078
2014-05-23,285.0,279.0,284.0,284.0,28400.0,213.85801696777344
2014-05-26,283.0,281.0,283.0,282.0,18500.0,212.3519744873047
2014-05-27,285.0,283.0,283.0,284.0,5500.0,213.85801696777344
2014-05-28,285.0,280.0,284.0,280.0,30900.0,210.84593200683594
2014-05-29,259.0,250.0,251.0,257.0,227100.0,193.5264434814453
2014-05-30,264.0,258.0,258.0,261.0,40800.0,196.5385284423828
2014-06-02,264.0,261.0,263.0,261.0,22200.0,196.5385284423828
2014-06-03,266.0,262.0,264.0,264.0,21000.0,198.79757690429688
2014-06-04,265.0,262.0,264.0,264.0,6500.0,198.79757690429688
2014-06-05,271.0,263.0,263.0,269.0,19400.0,202.5626983642578
2014-06-06,275.0,268.0,268.0,273.0,15500.0,205.5747833251953
2014-06-09,282.0,273.0,273.0,279.0,40500.0,210.0928955078125
2014-06-10,281.0,280.0,281.0,280.0,20500.0,210.84593200683594
2014-06-11,281.0,276.0,280.0,278.0,19100.0,209.3398895263672
2014-06-12,280.0,276.0,276.0,278.0,9100.0,209.3398895263672
2014-06-13,280.0,277.0,277.0,280.0,14500.0,210.84593200683594
2014-06-16,280.0,279.0,280.0,280.0,7000.0,210.84593200683594
2014-06-17,281.0,279.0,279.0,280.0,8200.0,210.84593200683594
2014-06-18,280.0,277.0,280.0,277.0,5800.0,208.5868682861328
2014-06-19,280.0,276.0,279.0,279.0,17100.0,210.0928955078125
2014-06-20,279.0,278.0,279.0,278.0,6500.0,209.3398895263672
2014-06-23,279.0,277.0,279.0,278.0,17100.0,209.3398895263672
2014-06-24,278.0,277.0,277.0,277.0,4200.0,208.5868682861328
2014-06-25,280.0,277.0,277.0,278.0,6300.0,209.3398895263672
2014-06-26,279.0,276.0,278.0,276.0,28000.0,207.83384704589844
2014-06-27,276.0,275.0,276.0,275.0,14000.0,207.08082580566406
2014-06-30,277.0,276.0,277.0,277.0,12200.0,208.5868682861328
2014-07-02,278.0,276.0,277.0,276.0,17800.0,207.83384704589844
2014-07-03,277.0,275.0,277.0,276.0,27200.0,207.83384704589844
2014-07-04,278.0,276.0,276.0,277.0,4600.0,208.5868682861328
2014-07-07,279.0,277.0,278.0,278.0,6600.0,209.3398895263672
2014-07-08,278.0,277.0,278.0,278.0,11900.0,209.3398895263672
2014-07-09,279.0,277.0,278.0,278.0,62400.0,209.3398895263672
2014-07-10,278.0,277.0,278.0,278.0,5000.0,209.3398895263672
2014-07-14,279.0,278.0,279.0,278.0,6500.0,209.3398895263672
2014-07-15,278.0,277.0,278.0,277.0,11800.0,208.5868682861328
2014-07-16,278.0,274.0,277.0,277.0,22500.0,208.5868682861328
2014-07-17,277.0,275.0,276.0,275.0,33100.0,207.08082580566406
2014-07-18,277.0,275.0,275.0,276.0,7800.0,207.83384704589844
2014-07-21,278.0,276.0,277.0,278.0,11700.0,209.3398895263672
2014-07-22,277.0,275.0,277.0,277.0,14900.0,208.5868682861328
2014-07-23,278.0,276.0,277.0,278.0,23200.0,209.3398895263672
2014-07-24,279.0,276.0,278.0,277.0,11000.0,208.5868682861328
2014-07-25,278.0,276.0,277.0,277.0,13300.0,208.5868682861328
2014-07-28,278.0,276.0,278.0,277.0,14900.0,208.5868682861328
2014-07-29,278.0,276.0,277.0,276.0,13600.0,207.83384704589844
2014-07-30,277.0,275.0,276.0,276.0,21200.0,207.83384704589844
2014-07-31,277.0,274.0,275.0,275.0,26800.0,207.08082580566406
2014-08-01,275.0,272.0,275.0,274.0,56600.0,206.32778930664062
2014-08-04,275.0,273.0,273.0,275.0,62700.0,207.08082580566406
2014-08-05,261.0,258.0,258.0,260.0,56600.0,204.33023071289062
2014-08-06,262.0,259.0,261.0,260.0,21600.0,204.33023071289062
2014-08-07,262.0,259.0,262.0,259.0,22600.0,203.54434204101562
2014-08-08,259.0,257.0,259.0,258.0,12000.0,202.7584686279297
2014-08-13,259.0,255.0,257.0,258.0,30100.0,202.7584686279297
2014-08-14,258.0,256.0,256.0,256.0,17700.0,201.1866912841797
2014-08-15,258.0,256.0,257.0,257.0,700.0,201.9725799560547
2014-08-18,258.0,256.0,258.0,257.0,8200.0,201.9725799560547
2014-08-19,259.0,256.0,257.0,257.0,9500.0,201.9725799560547
2014-08-20,259.0,257.0,259.0,257.0,11200.0,201.9725799560547
2014-08-21,258.0,257.0,258.0,257.0,16500.0,201.9725799560547
2014-08-22,258.0,257.0,257.0,258.0,22100.0,202.7584686279297
2014-08-25,259.0,256.0,257.0,256.0,16700.0,201.1866912841797
2014-08-26,258.0,257.0,257.0,257.0,2400.0,201.9725799560547
2014-08-27,257.0,255.0,257.0,255.0,7300.0,200.40078735351562
2014-08-28,257.0,255.0,256.0,256.0,9900.0,201.1866912841797
2014-08-29,257.0,256.0,257.0,256.0,5300.0,201.1866912841797
2014-09-01,257.0,255.0,256.0,255.0,15200.0,200.40078735351562
2014-09-02,256.0,255.0,255.0,255.0,8200.0,200.40078735351562
2014-09-03,257.0,254.0,256.0,256.0,12900.0,201.1866912841797
2014-09-04,257.0,255.0,257.0,256.0,3400.0,201.1866912841797
2014-09-05,256.0,255.0,256.0,256.0,3700.0,201.1866912841797
2014-09-08,256.0,254.0,255.0,254.0,8900.0,199.61489868164062
2014-09-09,256.0,254.0,256.0,256.0,5400.0,201.1866912841797
2014-09-10,255.0,254.0,255.0,255.0,9700.0,200.40078735351562
2014-09-11,256.0,255.0,255.0,256.0,3800.0,201.1866912841797
2014-09-12,256.0,254.0,255.0,254.0,2900.0,199.61489868164062
2014-09-15,256.0,254.0,254.0,256.0,15800.0,201.1866912841797
2014-09-16,257.0,254.0,256.0,254.0,17100.0,199.61489868164062
2014-09-17,256.0,255.0,256.0,255.0,17800.0,200.40078735351562
2014-09-18,257.0,256.0,256.0,257.0,11600.0,201.9725799560547
2014-09-19,258.0,256.0,257.0,257.0,9500.0,201.9725799560547
2014-09-22,260.0,257.0,258.0,259.0,12200.0,203.54434204101562
2014-09-23,262.0,259.0,259.0,261.0,31100.0,205.11611938476562
2014-09-24,262.0,260.0,262.0,262.0,7200.0,205.9019775390625
2014-09-25,263.0,261.0,262.0,261.0,13200.0,205.11611938476562
