Date,High,Low,Open,Close,Volume,Adj Close
2014-01-02,44.0,44.0,44.0,44.0,0.0,37.19913864135742
2014-01-03,41.25,41.25,41.25,41.25,100.0,34.87419509887695
2014-01-06,41.25,41.0,41.25,41.0,1700.0,34.662841796875
2014-01-07,41.0,41.0,41.0,41.0,0.0,34.662841796875
2014-01-08,41.0,41.0,41.0,41.0,600.0,34.662841796875
2014-01-09,41.0,41.0,41.0,41.0,0.0,34.662841796875
2014-01-10,41.0,41.0,41.0,41.0,0.0,34.662841796875
2014-01-13,41.0,41.0,41.0,41.0,0.0,34.662841796875
2014-01-14,41.0,41.0,41.0,41.0,0.0,34.662841796875
2014-01-15,41.0,41.0,41.0,41.0,400.0,34.662841796875
2014-01-16,41.0,41.0,41.0,41.0,0.0,34.662841796875
2014-01-17,41.0,41.0,41.0,41.0,2300.0,34.662841796875
2014-01-20,41.0,41.0,41.0,41.0,500.0,34.662841796875
2014-01-21,43.25,43.25,43.25,43.25,100.0,36.565067291259766
2014-01-22,43.25,43.25,43.25,43.25,0.0,36.565067291259766
2014-01-23,43.25,43.25,43.25,43.25,0.0,36.565067291259766
2014-01-24,42.0,42.0,42.0,42.0,500.0,35.50826644897461
2014-01-27,42.0,42.0,42.0,42.0,0.0,35.50826644897461
2014-01-28,42.0,42.0,42.0,42.0,0.0,35.50826644897461
2014-01-29,42.0,42.0,42.0,42.0,800.0,35.50826644897461
2014-01-30,42.0,42.0,42.0,42.0,0.0,35.50826644897461
2014-01-31,42.0,42.0,42.0,42.0,0.0,35.50826644897461
2014-02-03,42.0,42.0,42.0,42.0,0.0,35.50826644897461
2014-02-04,42.0,42.0,42.0,42.0,0.0,35.50826644897461
2014-02-05,43.0,42.5,43.0,42.5,600.0,35.93098831176758
2014-02-06,42.5,42.5,42.5,42.5,0.0,35.93098831176758
2014-02-07,42.5,42.5,42.5,42.5,0.0,35.93098831176758
2014-02-10,42.0,42.0,42.0,42.0,200.0,35.50826644897461
2014-02-11,42.0,42.0,42.0,42.0,100.0,35.50826644897461
2014-02-12,42.0,42.0,42.0,42.0,0.0,35.50826644897461
2014-02-13,42.0,42.0,42.0,42.0,0.0,35.50826644897461
2014-02-17,41.0,40.0,40.0,40.5,6400.0,34.24011993408203
2014-02-18,41.0,41.0,41.0,41.0,500.0,34.662841796875
2014-02-19,41.0,41.0,41.0,41.0,700.0,34.662841796875
2014-02-20,42.25,40.0,42.25,40.0,200.0,33.817405700683594
2014-02-21,40.75,40.0,40.0,40.75,400.0,34.451473236083984
2014-02-24,40.5,40.5,40.5,40.5,300.0,34.24011993408203
2014-02-25,40.5,40.5,40.5,40.5,0.0,34.24011993408203
2014-02-26,40.5,40.5,40.5,40.5,0.0,34.24011993408203
2014-02-27,40.5,40.5,40.5,40.5,0.0,34.24011993408203
2014-02-28,40.5,40.5,40.5,40.5,100.0,34.24011993408203
2014-03-03,42.5,42.5,42.5,42.5,100.0,35.93098831176758
2014-03-04,42.0,42.0,42.0,42.0,700.0,35.50826644897461
2014-03-05,42.0,42.0,42.0,42.0,0.0,35.50826644897461
2014-03-06,42.0,39.75,39.75,42.0,200.0,35.50826644897461
2014-03-07,42.75,40.0,42.75,41.0,500.0,34.662841796875
2014-03-10,41.0,41.0,41.0,41.0,0.0,34.662841796875
2014-03-11,40.25,40.25,40.25,40.25,400.0,34.02875900268555
2014-03-12,43.0,40.25,43.0,40.25,800.0,34.02875900268555
2014-03-13,40.25,40.25,40.25,40.25,0.0,34.02875900268555
2014-03-14,40.25,40.25,40.25,40.25,0.0,34.02875900268555
2014-03-17,40.5,40.25,40.25,40.5,1000.0,34.24011993408203
2014-03-18,41.0,40.25,41.0,40.5,1900.0,34.24011993408203
2014-03-19,41.5,40.25,40.5,41.5,3300.0,35.08555603027344
2014-03-20,41.5,41.5,41.5,41.5,0.0,35.08555603027344
2014-03-21,42.25,42.25,42.25,42.25,1000.0,35.71963119506836
2014-03-24,42.25,42.25,42.25,42.25,0.0,35.71963119506836
2014-03-25,42.25,42.25,42.25,42.25,500.0,35.71963119506836
2014-03-26,41.5,41.5,41.5,41.5,100.0,35.08555603027344
2014-03-27,41.5,40.5,41.5,40.5,1800.0,34.24011993408203
2014-03-28,41.5,41.5,41.5,41.5,100.0,35.08555603027344
2014-03-31,41.5,41.5,41.5,41.5,0.0,35.08555603027344
2014-04-01,41.5,41.5,41.5,41.5,0.0,35.08555603027344
2014-04-02,41.5,41.5,41.5,41.5,0.0,35.08555603027344
2014-04-03,43.25,43.25,43.25,43.25,100.0,36.565067291259766
2014-04-04,43.25,43.25,43.25,43.25,0.0,36.565067291259766
2014-04-08,43.25,43.25,43.25,43.25,0.0,36.565067291259766
2014-04-09,43.25,43.25,43.25,43.25,0.0,36.565067291259766
2014-04-10,43.25,43.25,43.25,43.25,0.0,36.565067291259766
2014-04-11,43.25,40.5,43.25,41.5,1600.0,35.08555603027344
2014-04-16,44.0,44.0,44.0,44.0,200.0,37.19913864135742
2014-04-17,41.75,41.75,41.75,41.75,100.0,35.296913146972656
2014-04-18,43.25,42.0,42.0,43.25,200.0,36.565067291259766
2014-04-21,43.5,43.5,43.5,43.5,100.0,36.776424407958984
2014-04-22,43.5,42.0,42.0,43.5,1100.0,36.776424407958984
2014-04-23,43.5,43.5,43.5,43.5,0.0,36.776424407958984
2014-04-24,43.5,42.0,42.0,43.5,1800.0,36.776424407958984
2014-04-25,43.25,43.25,43.25,43.25,500.0,36.565067291259766
2014-04-28,43.5,43.25,43.25,43.5,500.0,36.776424407958984
2014-04-29,43.5,43.5,43.5,43.5,100.0,36.776424407958984
2014-04-30,42.75,40.5,40.5,41.25,400.0,35.69476318359375
2014-05-02,43.5,41.5,43.5,43.25,1300.0,37.4254264831543
2014-05-06,43.5,43.0,43.25,43.0,1700.0,37.20909118652344
2014-05-07,43.0,43.0,43.0,43.0,0.0,37.20909118652344
2014-05-08,41.25,41.0,41.25,41.0,10000.0,35.47843551635742
2014-05-09,41.0,41.0,41.0,41.0,0.0,35.47843551635742
2014-05-12,42.0,41.75,42.0,41.75,1200.0,36.127437591552734
2014-05-14,41.0,41.0,41.0,41.0,200.0,35.47843551635742
2014-05-15,41.0,41.0,41.0,41.0,1500.0,35.47843551635742
2014-05-16,41.0,40.25,40.5,41.0,8100.0,35.47843551635742
2014-05-19,41.0,40.0,40.0,41.0,500.0,35.47843551635742
2014-05-20,41.0,40.5,41.0,40.5,800.0,35.04576873779297
2014-05-21,41.0,41.0,41.0,41.0,300.0,35.47843551635742
2014-05-22,41.0,41.0,41.0,41.0,3200.0,35.47843551635742
2014-05-23,41.0,40.0,40.5,41.0,500.0,35.47843551635742
2014-05-26,40.5,39.75,40.25,40.25,3200.0,34.829437255859375
2014-05-27,40.5,40.0,40.25,40.0,3100.0,34.61311340332031
2014-05-28,40.75,40.5,40.75,40.5,2300.0,35.04576873779297
