Date,High,Low,Open,Close,Volume,Adj Close
2014-01-02,36.0,35.5,36.0,35.75,156500.0,28.39820671081543
2014-01-03,35.75,35.5,35.75,35.5,50200.0,28.199617385864258
2014-01-06,35.75,35.5,35.5,35.75,45800.0,28.39820671081543
2014-01-07,35.75,35.5,35.5,35.75,45300.0,28.39820671081543
2014-01-08,36.0,35.75,36.0,35.75,115100.0,28.39820671081543
2014-01-09,35.75,35.75,35.75,35.75,48900.0,28.39820671081543
2014-01-10,36.0,36.0,36.0,36.0,5000.0,28.596797943115234
2014-01-13,36.0,35.5,35.75,35.75,67100.0,28.39820671081543
2014-01-14,35.5,35.5,35.5,35.5,218700.0,28.199617385864258
2014-01-15,36.25,35.25,36.25,35.75,91200.0,28.39820671081543
2014-01-16,35.5,35.5,35.5,35.5,121000.0,28.199617385864258
2014-01-17,35.75,35.25,35.5,35.75,89100.0,28.39820671081543
2014-01-20,35.5,35.25,35.5,35.5,43600.0,28.199617385864258
2014-01-21,35.5,35.25,35.5,35.25,68900.0,28.00103187561035
2014-01-22,35.5,35.0,35.5,35.25,116600.0,28.00103187561035
2014-01-23,35.5,35.0,35.5,35.0,102100.0,27.802440643310547
2014-01-24,35.25,35.0,35.25,35.0,68400.0,27.802440643310547
2014-01-27,35.25,35.0,35.0,35.25,31700.0,28.00103187561035
2014-01-28,35.5,35.0,35.5,35.0,52900.0,27.802440643310547
2014-01-29,35.5,34.5,35.0,35.5,113800.0,28.199617385864258
2014-01-30,35.0,35.0,35.0,35.0,11600.0,27.802440643310547
2014-01-31,35.25,35.0,35.0,35.0,84000.0,27.802440643310547
2014-02-03,35.25,34.75,35.0,35.25,103100.0,28.00103187561035
2014-02-04,35.0,34.75,34.75,35.0,65700.0,27.802440643310547
2014-02-05,34.75,34.5,34.75,34.75,148200.0,27.603851318359375
2014-02-06,35.25,34.5,35.0,35.25,104800.0,28.00103187561035
2014-02-07,35.25,34.75,34.75,35.25,148800.0,28.00103187561035
2014-02-10,35.0,34.5,35.0,34.5,85900.0,27.405261993408203
2014-02-11,35.0,34.75,34.75,35.0,18200.0,27.802440643310547
2014-02-12,35.25,35.0,35.0,35.0,31300.0,27.802440643310547
2014-02-13,35.25,35.25,35.25,35.25,41300.0,28.00103187561035
2014-02-17,35.25,35.0,35.0,35.25,10900.0,28.00103187561035
2014-02-18,35.5,35.0,35.25,35.25,58700.0,28.00103187561035
2014-02-19,35.75,35.5,35.5,35.5,15600.0,28.199617385864258
2014-02-20,35.5,35.25,35.5,35.5,18000.0,28.199617385864258
2014-02-21,35.5,35.5,35.5,35.5,52900.0,28.199617385864258
2014-02-24,35.5,35.5,35.5,35.5,4200.0,28.199617385864258
2014-02-25,35.75,35.5,35.5,35.5,77000.0,28.199617385864258
2014-02-26,36.0,35.5,36.0,35.5,83100.0,28.199617385864258
2014-02-27,35.75,35.75,35.75,35.75,33300.0,28.39820671081543
2014-02-28,36.0,35.5,35.5,36.0,35600.0,28.596797943115234
2014-03-03,36.0,35.5,35.5,35.5,113100.0,28.199617385864258
2014-03-04,36.0,35.75,35.75,36.0,61900.0,28.596797943115234
2014-03-05,37.0,36.25,36.25,36.75,59200.0,29.192562103271484
2014-03-06,37.0,36.5,36.75,36.75,48400.0,29.192562103271484
2014-03-07,37.25,36.75,37.0,37.25,12500.0,29.589744567871094
2014-03-10,37.25,37.25,37.25,37.25,400.0,29.589744567871094
2014-03-11,37.25,37.0,37.25,37.0,9100.0,29.391155242919922
2014-03-12,37.5,37.0,37.25,37.5,14600.0,29.788330078125
