,symbol,exchange,industry,sector,name
2S,2S,MAI,สินค้าอุตสาหกรรม,-,บริษัท 2 เอส เมทัล จำกัด (มหาชน)
7UP,7UP,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,บริษัท เซเว่น ยูทิลิตี้ส์ แอนด์ พาวเวอร์ จำกัด (มหาชน)
A,A,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน)
A5,A5,MAI,บริการ,-,บริษัท แอสเซท ไฟว์ กรุ๊ป จำกัด (มหาชน)
AAV,AAV,SET,บริการ,ขนส่งและโลจิสติกส์,บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน)
ABICO,ABICO,MAI,เกษตรและอุตสาหกรรมอาหาร,-,บริษัท เอบิโก้ โฮลดิ้งส์ จำกัด (มหาชน)
ABM,ABM,MAI,ทรัพยากร,-,บริษัท เอเชีย ไบโอแมส จำกัด (มหาชน)
ABPIF,ABPIF,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,กองทุนรวมโครงสร้างพื้นฐานโรงไฟฟ้า อมตะ บี.กริม เพาเวอร์
ACAP,ACAP,MAI,ธุรกิจการเงิน,-,บริษัท เอเชีย แคปปิตอล กรุ๊ป จำกัด (มหาชน)
ACC,ACC,SET,สินค้าอุปโภคบริโภค,ของใช้ในครัวเรือนและสำนักงาน,บริษัท แอดวานซ์ คอนเนคชั่น คอร์ปอเรชั่น จำกัด (มหาชน)
ACG,ACG,MAI,สินค้าอุตสาหกรรม,-,บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน)
ADB,ADB,MAI,สินค้าอุตสาหกรรม,-,บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน)
ADVANC,ADVANC,SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
AEC,AEC,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,บริษัทหลักทรัพย์ เออีซี จำกัด (มหาชน)
AEONTS,AEONTS,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,บริษัท อิออน ธนสินทรัพย์ (ไทยแลนด์) จำกัด (มหาชน)
AF,AF,MAI,ธุรกิจการเงิน,-,บริษัท ไอร่า แฟคตอริ่ง จำกัด (มหาชน)
AFC,AFC,SET,สินค้าอุปโภคบริโภค,แฟชั่น,บริษัท เอเซียไฟเบอร์ จำกัด (มหาชน)
AGE,AGE,MAI,ทรัพยากร,-,บริษัท เอเชีย กรีน เอนเนอจี จำกัด (มหาชน)
AH,AH,SET,สินค้าอุตสาหกรรม,ยานยนต์,บริษัท อาปิโก ไฮเทค จำกัด (มหาชน)
AHC,AHC,SET,บริการ,การแพทย์,บริษัท โรงพยาบาลเอกชล จำกัด (มหาชน)
AI,AI,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,บริษัท เอเชียน อินซูเลเตอร์ จำกัด (มหาชน)
AIE,AIE,MAI,ทรัพยากร,-,บริษัท เอไอ เอนเนอร์จี จำกัด (มหาชน)
AIMCG,AIMCG,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม คอมเมอร์เชียล โกรท
AIMIRT,AIMIRT,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม อินดัสเทรียล โกรท
AIRA,AIRA,MAI,ธุรกิจการเงิน,-,บริษัท ไอร่า แคปปิตอล จำกัด (มหาชน)
AIT,AIT,SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,บริษัท แอ็ดวานซ์ อินฟอร์เมชั่น เทคโนโลยี จำกัด (มหาชน)
AJ,AJ,SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,บริษัท เอ.เจ.พลาสท์ จำกัด (มหาชน)
AJA,AJA,SET,สินค้าอุปโภคบริโภค,ของใช้ในครัวเรือนและสำนักงาน,บริษัท เอเจ แอดวานซ์ เทคโนโลยี จำกัด (มหาชน)
AKP,AKP,MAI,บริการ,-,บริษัท อัคคีปราการ จำกัด (มหาชน)
AKR,AKR,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,บริษัท เอกรัฐวิศวกรรม จำกัด (มหาชน)
ALLA,ALLA,SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,บริษัท ออลล่า จำกัด (มหาชน)
ALT,ALT,SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,บริษัท เอแอลที เทเลคอม จำกัด (มหาชน)
ALUCON,ALUCON,SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,บริษัท อลูคอน จำกัด (มหาชน)
AMA,AMA,MAI,บริการ,-,บริษัท อาม่า มารีน จำกัด (มหาชน)
AMANAH,AMANAH,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,บริษัท อะมานะฮ์ ลิสซิ่ง จำกัด (มหาชน)
AMATA,AMATA,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,บริษัท อมตะ คอร์ปอเรชัน จำกัด (มหาชน)
AMATAR,AMATAR,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอมตะซัมมิทโกรท
AMATAV,AMATAV,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,บริษัท อมตะ วีเอ็น จำกัด (มหาชน)
AMC,AMC,SET,สินค้าอุตสาหกรรม,เหล็ก,บริษัท เอเซีย เมทัล จำกัด (มหาชน)
ANAN,ANAN,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน)
AOT,AOT,SET,บริการ,ขนส่งและโลจิสติกส์,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน)
AP,AP,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,บริษัท เอพี (ไทยแลนด์) จำกัด (มหาชน)
APCO,APCO,SET,สินค้าอุปโภคบริโภค,ของใช้ส่วนตัวและเวชภัณฑ์,บริษัท เอเชียน ไฟย์โตซูติคอลส์ จำกัด (มหาชน)
APCS,APCS,SET,สินค้าอุตสาหกรรม,ยานยนต์,บริษัท เอเซีย พรีซิชั่น จำกัด (มหาชน)
APP,APP,MAI,เทคโนโลยี,-,บริษัท แอพพลิแคด จำกัด (มหาชน)
APURE,APURE,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,บริษัท อกริเพียว โฮลดิ้งส์ จำกัด (มหาชน)
AQ,AQ,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,บริษัท เอคิว เอสเตท จำกัด (มหาชน)
AQUA,AQUA,SET,บริการ,สื่อและสิ่งพิมพ์,บริษัท อควา คอร์เปอเรชั่น จำกัด (มหาชน)
ARIN,ARIN,MAI,อสังหาริมทรัพย์และก่อสร้าง,-,บริษัท อรินสิริ แลนด์ จำกัด (มหาชน)
ARIP,ARIP,MAI,บริการ,-,บริษัท เออาร์ไอพี จำกัด (มหาชน)
ARROW,ARROW,MAI,อสังหาริมทรัพย์และก่อสร้าง,-,บริษัท แอร์โรว์ ซินดิเคท จำกัด (มหาชน)
AS,AS,SET,บริการ,สื่อและสิ่งพิมพ์,บริษัท เอเชียซอฟท์ คอร์ปอเรชั่น จำกัด (มหาชน)
ASAP,ASAP,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,บริษัท ซินเนอร์เจติค ออโต้ เพอร์ฟอร์มานซ์ จำกัด (มหาชน)
ASEFA,ASEFA,SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,บริษัท อาซีฟา จำกัด (มหาชน)
ASIA,ASIA,SET,บริการ,การท่องเที่ยวและสันทนาการ,บริษัท เอเชียโฮเต็ล จำกัด (มหาชน)
ASIAN,ASIAN,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,บริษัท เอเชี่ยนซี คอร์ปอเรชั่น จำกัด (มหาชน)
ASIMAR,ASIMAR,SET,บริการ,ขนส่งและโลจิสติกส์,บริษัท เอเชียน มารีน เซอร์วิสส์ จำกัด (มหาชน)
ASK,ASK,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,บริษัท เอเซียเสริมกิจลีสซิ่ง จำกัด (มหาชน)
ASN,ASN,MAI,ธุรกิจการเงิน,-,บริษัท เอเอสเอ็น โบรกเกอร์ จำกัด (มหาชน)
ASP,ASP,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,บริษัท เอเซีย พลัส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน)
ATP30,ATP30,MAI,บริการ,-,บริษัท เอทีพี 30 จำกัด (มหาชน)
